# Common offline Romanized Nepali vocabulary. Alternatives use |.
# Pronouns and people
ma	म|मा|मलाई
kahaanxa	कहाँ छ

# Phase 23 Roman conversational variants
bigryo	बिग्रियो
bigriyo	बिग्रियो
janchhau	जान्छौ
jaanchhau	जान्छौ
malaiko	मलाईको
malaile	मलाईले
kho	के हो
malaai	मलाई
hunxa	हुन्छ
nepaali	नेपाली
